chunk_id,source,snippet,icd_codes
0,data/specialist_med_school.pdf,"1.  Family  Medicine  First  up  is  family  medicine.  Family  medicine  doctors  are  the  center  of  primary  care.  They  treat   the   broadest   range   of   ailments   and   patients,   from   newborns   to   seniors   and   everything   in  ...",'Z7681'; 'Z750'; 'Z833'; 'P007'
1,data/specialist_med_school.pdf,"and   has   one   of   the   lowest   salaries   at   just   over   $250K.   2.  Internal  Medicine  Next,  internal  medicine  doctors  are  the  generalists  of  generalists,  treating  a  massive  range  of   medical   conditions,   whether   comm...",'Y92531'; 'Y92532'; 'T8584XS'; 'F40232'
2,data/specialist_med_school.pdf,"Internal   medicine   is   also   loaded   with   subspecialty   and   fellowship   options,   which   we’ll   get   to   later.   3.  Pediatrics  Next,  we  have  pediatrics.  Think  of  this  specialty  as  the  equivalent  of  internal  medicine  ...",'Z7187'; 'Z7681'; 'Z387'; 'R6331'
3,data/specialist_med_school.pdf,"competitive   specialties,   in   part   due   to   its   lower   average   compensation   at   $250K   a   year.   4.  OB/GYN  OB/GYN  covers  both  obstetrics  and  gynecology.  Obstetrics  is  the  medical  and  surgical   management   of   pregna...",'Y760'; 'Z317'; 'O754'; 'Y768'
4,data/specialist_med_school.pdf,"life,   pregnancy,   menopause,   and   beyond.   5.  Surgery  Surgery  is  a  very  broad  medical  specialty.  Surgeons  use  manual  techniques  and  medical   instruments   to   physically   reach   into   a   patient’s   body   to   investigate ...",'T889XXS'; 'T888XXS'; 'Y66'; 'T888XXA'
5,data/specialist_med_school.pdf,"which   we’ll   cover   shortly.   6.  Neurology  Neurologists  specialize  in  the  non-surgical  management  of  a  variety  of  central  and  peripheral   nervous   system   disorders,   managing   everything   from   headaches   and   migraines  ...",'G3289'; 'G3189'; 'G1229'; 'G3789'
6,data/specialist_med_school.pdf,and   new   therapies   are   rapidly   evolving.   7.  Psychiatry  Psychiatry  focuses  on  understanding  and  treating  mental  health  disorders  and  psychological   distress   through   talk   therapy   and   medication.   They   holistically  ...,'F333'; 'F315'; 'F3489'; 'F251'
7,data/specialist_med_school.pdf,"attend   medical   school   and,   up   until   residency,   they   complete   the   same   medical   training   as   all   other   MDs   or   DOs....",'Z764'; 'Z750'; 'Y66'; 'T889XXS'
8,data/specialist_med_school.pdf,That  covers  the  core  rotations  you’ll  encounter  in  medical  school.  You  can  learn  more  about   each   of   them   in   our   Clerkships   Guide.   But  we  are  far  from  done.   8.  Plastic  Surgery  You  may  have  heard  me  mention ...,'Z428'; 'Y818'; 'T84498S'; 'Y810'
9,data/specialist_med_school.pdf,Aesthetic   plastic   surgery   involves   procedures   like   breast   augmentation   and   liposuction.   Reconstructive   plastic   surgery   involves   procedures   to   correct   facial   and   body   abnormalities.   Plastic   surgery   is   co...,'Z428'; 'Z411'; 'N651'; 'T8549XS'
10,data/specialist_med_school.pdf,"about   the   top   10   most   competitive   specialties.   9.  Otolaryngology  Otolaryngology,  also  known  as  ENT,  is  a  surgical  subspecialty  focusing  on  diseases  of  the  head   and   neck   region.   This   includes   the   vocal   cor...",'M778'; 'M779'; 'Y721'; 'Y728'
